Gene,Description,endo_K_I_normalized_values,endo_K_II_normalized_values,endo_C_I_normalized_values,endo_C_II_normalized_values,endo_C_III_normalized_values,average_K,st_deviation_K,average_C,st_deviation_C
Nova2,Isoform 2 of RNA-binding protein Nova-2,0.7656363553875544,1.3576954412785784,0.008022006561273371,,0.5025669827878355,1.0616658983330665,0.29602954294551204,0.25529449467455445,0.24727248811328106
Krt24,"Keratin, type I cytoskeletal 24",1.601291228579337,1.5302526839117037,1.6191980788789475,1.5568016343547555,,1.5657719562455203,0.03551927233381669,1.5879998566168516,0.03119822226209601
Slc9a6,Sodium/hydrogen exchanger 6,0.46052783388418345,0.8628814261101958,0.9071382856763952,0.5397498976161023,,0.6617046299971896,0.20117679611300618,0.7234440916462488,0.18369419403014647
Cul4b,Isoform 2 of Cullin-4B,0.07270982356090683,0.0357125119724412,0.034927745058811334,0.07648396224697357,0.911187686776459,0.054211167766674014,0.018498655794232814,0.34086646469408133,0.40363469628274856
Dhx8,ATP-dependent RNA helicase DHX8,,,1.34482682964645,1.5349275568399503,,,,1.4398771932432002,0.09505036359675012
Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,0.6124501223164011,0.7963377852504128,0.6262289385760682,0.6092958367536201,0.5266127632230763,0.704393953783407,0.09194383146700585,0.5873791795175882,0.04352088001783965
Zmym4,Isoform 2 of Zinc finger MYM-type protein 4,,,,,,,,,
Kiaa1522,Isoform 2 of Uncharacterized protein KIAA1522,1.4089847713234689,1.1446504622586247,1.1398841782172617,1.2248135744469015,,1.2768176167910468,0.13216715453242212,1.1823488763320817,0.0424646981148199
Ptprf,Receptor-type tyrosine-protein phosphatase F,0.18245372630454257,0.12951731419289056,0.09928882701556983,0.07936543110584854,0.7291882550219057,0.15598552024871656,0.026468206055826005,0.3026141710477747,0.3017430720164873
Tmem201,Isoform 2 of Transmembrane protein 201,1.2486846632717925,1.1248032332208986,0.7389922500525754,1.2202649331647493,,1.1867439482463455,0.06194071502544696,0.9796285916086623,0.24063634155608693
Osbpl9,Isoform 2 of Oxysterol-binding protein-related protein 9,0.5922288772056161,1.002644308253391,0.4437463290706401,0.542046636010145,,0.7974365927295035,0.2052077155238874,0.49289648254039253,0.04915015346975246
Szt2,KICSTOR complex protein SZT2,,,,,,,,,
Ttc39a,Isoform 2 of Tetratricopeptide repeat protein 39A,0.14161158591280731,0.07595195460091007,0.20177117973877784,0.042149647320421584,0.7455166558999966,0.1087817702568587,0.03282981565594862,0.32981249431973203,0.30108384310604597
Pusl1,tRNA pseudouridine synthase-like 1,2.341830373990658,1.2347489976967412,,0.7846678090376239,,1.7882896858436994,0.5535406881469583,0.7846678090376239,0.0
Ddi2,Protein DDI1 homolog 2,2.411395841089441,1.8513582960928698,2.8139565687004584,2.672344774681648,0.4658388637829598,2.1313770685911555,0.28001877249828555,1.9840467357216884,1.0750906417178194
Map7d3,Isoform 2 of MAP7 domain-containing protein 3,,,,,,,,,
Dock11,Dedicator of cytokinesis protein 11,0.47309727352604786,0.5429373197826116,0.5286259355892681,0.4635490273587542,0.7353957252489252,0.5080172966543297,0.03492002312828188,0.5758568960656492,0.11589716565153373
Elapor1,Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1,0.5730966448246747,0.11618165903886014,0.27609728080630924,0.6215256598904535,0.53960103496959,0.3446391519317674,0.2284574928929073,0.4790746585554509,0.1473720302512078
Map7d2,Isoform 2 of MAP7 domain-containing protein 2,0.9926750003016067,0.8481018451834865,0.7988307470379846,0.9768457094903775,,0.9203884227425466,0.0722865775590601,0.887838228264181,0.08900748122619645
Ckap5,Isoform 2 of Cytoskeleton-associated protein 5,0.3736304292823951,0.42756285050292897,0.32724878654149137,0.2769077512224259,0.8431005368990326,0.40059663989266203,0.02696621061026694,0.48241902488765004,0.2558670485354477
Camsap1,Isoform 2 of Calmodulin-regulated spectrin-associated protein 1,,,,,,,,,
Ndufaf6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",1.1334667766157753,1.4805492481098836,,1.0925676454138362,,1.3070080123628296,0.17354123574705416,1.0925676454138362,0.0
Virma,Protein virilizer homolog,33.63543663395323,26.52282229050563,46.52569804946276,33.750737832415275,3.5041129820611467,30.07912946222943,3.5563071717238017,27.926849621313057,18.0398161640574
Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",0.259094462721152,0.7394971711884478,0.5065996280883344,0.05869829194877271,,0.4992958169547999,0.2402013542336479,0.28264896001855355,0.2239506680697808
Map7d1,MAP7 domain-containing protein 1,0.15911004432004844,0.028420909028214255,0.006133844644156698,0.124318765958855,0.6160320036618088,0.09376547667413135,0.06534456764591709,0.24882820475494016,0.2640970671997544
Dcaf10,Isoform 3 of DDB1- and CUL4-associated factor 10,,,,,,,,,
Focad,Focadhesin,0.7608085915271104,0.8065484904786612,0.6072182782134589,0.7307753529167492,1.2148667190573972,0.7836785410028858,0.022869949475775364,0.850953450062535,0.2622228545724721
Rap1gap,Isoform 4 of Rap1 GTPase-activating protein 1,0.34100456624108105,0.04391923923839206,0.1749835935664027,0.31789263653083477,1.2712005187562565,0.19246190273973657,0.1485426635013445,0.5880255829511647,0.48658794568195035
Shroom2,Protein Shroom2,0.44450196401211384,0.40737073016863967,0.7563502080423541,0.6032747433478769,,0.42593634709037675,0.018565616921737083,0.6798124756951155,0.0765377323472386
Ubr4,Isoform 3 of E3 ubiquitin-protein ligase UBR4,2.46578088873566,2.3454432749074368,2.937460690380126,2.3959866544331057,0.9639867846256845,2.4056120818215483,0.06016880691411153,2.0991447098129723,0.8325607762551309
Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",0.9003764901709338,1.0239692280261936,,1.0957574451457879,,0.9621728590985636,0.06179636892762991,1.0957574451457879,0.0
Rtf1,RNA polymerase-associated protein RTF1 homolog,0.8717833216400541,2.2165406175942723,0.8728143038747789,1.3493977936552541,0.8365899698321331,1.5441619696171633,0.6723786479771091,1.0196006891207219,0.2336702066499266
Skt,Sickle tail protein,3.651414144795364,3.7693382979218795,3.4438137750334232,3.730535512328242,0.6802320025859571,3.7103762213586218,0.05896207656325769,2.6181937633158743,1.3753361233283763
Map3k15,Mitogen-activated protein kinase kinase kinase 15,0.5096718909485184,0.007882002876661624,0.6730224599931679,0.41220187169637423,0.46907228796058076,0.25877694691259,0.2508949440359284,0.5180988732167077,0.11198080003964546
Ppig,Peptidyl-prolyl cis-trans isomerase G,0.8727169601710884,0.9833451268722445,0.3795429731545566,0.9171202234634368,,0.9280310435216664,0.05531408335057808,0.6483315983089967,0.26878862515444013
Slc25a25,Isoform 4 of Mitochondrial adenyl nucleotide antiporter SLC25A25,0.14394313345104207,0.5368527212886496,0.36114485215032355,0.058073816472130405,1.0085526808030356,0.3403979273698458,0.19645479391880377,0.47592378314182987,0.3964283627042903
Upf2,Regulator of nonsense transcripts 2,1.0654023255493874,1.2074548504289186,1.1361270805454315,1.141536685971921,,1.136428587989153,0.07102626243976562,1.1388318832586761,0.0027048027132446917
Dhtkd1,2-oxoadipate dehydrogenase complex component E1,0.2222772005525095,0.020888330133157537,0.07055595300820372,0.2803481064990465,0.42254296194760504,0.12158276534283352,0.10069443520967598,0.2578156738182851,0.144578690240324
Rabgap1,Rab GTPase-activating protein 1,0.2085147575752992,0.6467729185879304,0.6624836951416478,0.4563652900137266,0.2684771462146392,0.42764383808161477,0.2191290805063156,0.46244204379000453,0.16090988233933085
Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,6.5143611535956545,5.468648116948232,5.758858580280362,2.349446900904508,1.8385175053340255,5.991504635271943,0.522856518323711,3.315607662172965,1.7401855262086248
Las1l,Isoform 2 of Ribosomal biogenesis protein LAS1L,1.025699222126482,1.0565164208467037,0.9510296804491545,0.9884764206265328,1.3383685976416346,1.0411078214865928,0.015408599360110853,1.0926248995724406,0.17443821913602228
Arid1a,Isoform 3 of AT-rich interactive domain-containing protein 1A,0.8333278166203835,0.7331795112366767,0.7373234581609128,0.9069665743738726,1.0097548964712544,0.7832536639285301,0.05007415269185339,0.8846816430020134,0.11233042262197337
Bltp3b,Bridge-like lipid transfer protein family member 3B,,1.1102148572385697,,1.1745833194724165,,1.1102148572385697,0.0,1.1745833194724165,0.0
Trmt1l,Isoform 2 of TRMT1-like protein,0.7095929294544384,0.6438554275317945,0.9534105066833262,0.7164570922695314,1.276767250674975,0.6767241784931164,0.03286875096132197,0.9822116165426108,0.2296504537333906
Fbxl16,F-box/LRR-repeat protein 16,,1.2160358606209973,1.2916195384615887,,,1.2160358606209973,0.0,1.2916195384615887,0.0
Tbc1d8b,TBC1 domain family member 8B,0.32360941876218213,0.11746780841933833,0.13726959890292217,0.19692095945277285,1.0241361030979157,0.22053861359076024,0.10307080517142189,0.4527755538178702,0.4047461996190193
Ralgapa2,Isoform 2 of Ral GTPase-activating protein subunit alpha-2,,,,,,,,,
Odf2,Isoform 2 of Outer dense fiber protein 2,,,,,,,,,
Ttc38,Tetratricopeptide repeat protein 38,0.48439469736269963,0.08384661712524567,0.11109260184421643,0.24964067964076975,0.6141582607581528,0.2841206572439727,0.200274040118727,0.32496384741437967,0.21216966323710026
Col6a5,Collagen alpha-5(VI) chain,,,1.1585186526279385,0.6779916633725299,,,,0.9182551580002343,0.2402634946277043
Exoc6b,Exocyst complex component 6B,0.6308170721988763,0.44151300318447667,0.3741864635465136,0.24873240021728235,,0.5361650376916764,0.0946520345071998,0.31145943188189795,0.06272703166461562
Mipep,Mitochondrial intermediate peptidase,1.0433987460296235,0.23363096489621363,0.8004241457196843,0.4174609216916299,,0.6385148554629185,0.40488389056670493,0.6089425337056571,0.19148161201402722
Mmrn2,Multimerin-2,0.6318589833015217,0.34003911034370216,0.8585616230196484,0.4797995399012065,1.0378894033960735,0.4859490468226119,0.14590993647890976,0.7920835221056427,0.23263788364434448
Dennd4c,Isoform 2 of DENN domain-containing protein 4C,3.886513794812602,3.3582202235127196,3.5726883830748672,4.12416989570414,1.7653591805137785,3.6223670091626605,0.2641467856499411,3.1540724864309286,1.0074477485926083
Thada,Thyroid adenoma-associated protein homolog,,1.4763331250836047,1.4058537570001597,1.4353330769931363,,1.4763331250836047,0.0,1.420593416996648,0.014739659996488297
Sec14l1,Isoform 2 of SEC14-like protein 1,1.1554398726149064,1.227465238422332,,1.0472778573775616,,1.191452555518619,0.036012682903712734,1.0472778573775616,0.0
Tmem238,Transmembrane protein 238,0.6999982498313126,0.589200028010577,0.9438701696095319,0.5338933375239138,,0.6445991389209449,0.05539911091036781,0.7388817535667228,0.20498841604280904
Ptpru,Isoform 2 of Receptor-type tyrosine-protein phosphatase U,,,,,,,,,
Uprt,Uracil phosphoribosyltransferase homolog,1.2654888824357318,1.1894984592854665,,1.3046850113479755,,1.227493670860599,0.03799521157513264,1.3046850113479755,0.0
Nfx1,Transcriptional repressor NF-X1,0.5835256111699504,0.7606044158444608,0.6800075214437532,0.5106224106227152,1.2266024448246875,0.6720650135072056,0.08853940233725521,0.8057441256303853,0.3055204549270569
Usp24,Ubiquitin carboxyl-terminal hydrolase 24,0.03559290872428492,0.07455089457231309,0.21042002745294475,0.195602058702617,0.32142793919089063,0.055071901648299004,0.019478992924014085,0.2424833417821508,0.05614908811662295
Tmem245,Transmembrane protein 245,4.4981445663124475,3.4259558897151696,,2.4217764147831438,3.8018732049776744,3.9620502280138084,0.536094338298639,3.1118248098804093,0.6900483950972653
Thoc2,THO complex subunit 2,0.7805259579752213,0.7899486115686339,0.5895167196103931,0.679968092213269,2.2108818025019428,0.7852372847719276,0.004711326796706328,1.1601222047752016,0.7439162864474216
Dlgap4,Isoform 2 of Disks large-associated protein 4,0.8967975821164704,0.8867080162039949,0.49007266936818905,0.6211423599221058,,0.8917527991602326,0.005044782956237781,0.5556075146451473,0.06553484527695835
Triqk,Triple QxxK/R motif-containing protein,0.41375279156153627,0.4931270949835659,,0.6357502803643038,0.6492838493592078,0.4534399432725511,0.039687151711014806,0.6425170648617557,0.006766784497451994
Cad,CAD protein,6.5818430703600095,6.956644513463624,7.554380623408724,8.251866471497834,2.4161954353557236,6.769243791911817,0.18740072155180743,6.074147510087427,2.602189035260714
Otud4,OTU domain-containing protein 4,1.0400875967923995,0.9239391901348942,1.18393300649399,0.9513393615107136,,0.9820133934636468,0.05807420332875263,1.0676361840023518,0.11629682249163814
Gnai1,Guanine nucleotide-binding protein G(i) subunit alpha-1,0.3471314480334985,0.6513796138772047,0.6582550445517152,0.3595278947597656,,0.4992555309553516,0.1521240829218531,0.5088914696557404,0.14936357489597482
Apba1,Isoform 3 of Amyloid-beta A4 precursor protein-binding family A member 1,0.3655291872913286,0.4209864025645791,0.4726852789353743,0.2898239011193946,0.947254548041925,0.3932577949279539,0.02772860763662524,0.569921242698898,0.2770618322865977
Otud7b,OTU domain-containing protein 7B,,,,,,,,,
Trappc11,Trafficking protein particle complex subunit 11,1.107543447937664,0.8639640296030369,1.2583601789934593,1.0643099387572623,,0.9857537387703504,0.12178970916731358,1.1613350588753608,0.0970251201180985
Ankrd44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,0.18867464143206616,0.009493478643661351,0.027408901631932357,0.19526993065946036,0.5285162387628485,0.09908406003786376,0.08959058139420241,0.2503983570180804,0.20825705010266
Plxnb2,Plexin-B2,2.0705827738882308,2.368107054230124,2.235892661131656,2.6634778814737534,0.7663496489543944,2.219344914059177,0.1487621401709467,1.888573397186601,0.8125051326959962
Rbm25,RNA-binding protein 25,0.4696006743756783,0.4198630580237687,0.4914571155815777,0.5281117999237889,1.025962850831658,0.4447318661997235,0.0248688081759548,0.6818439221123415,0.24378852761940256
Xpnpep3,Xaa-Pro aminopeptidase 3,0.6162406818385334,0.5070120726118439,0.7738447481697766,0.6005369830538694,0.3225616915522636,0.5616263772251886,0.054614304613344766,0.5656478075919699,0.18587996166131832
Qtrt2,Queuine tRNA-ribosyltransferase accessory subunit 2,0.7637724767112869,0.8536651317802926,0.8776672440474469,0.7634993630029759,1.251785821346957,0.8087188042457898,0.04494632753450284,0.96431747613246,0.20854593960854614
Pdzd8,PDZ domain-containing protein 8,0.8927210484292066,0.7213878019248506,1.1107394450318655,0.9520643831457587,,0.8070544251770286,0.085666623252178,1.031401914088812,0.0793375309430534
Osbpl8,Oxysterol-binding protein-related protein 8,0.4360213941979699,0.6190045568534596,0.21468309986195522,0.4806843959321544,,0.5275129755257147,0.09149158132774482,0.3476837478970548,0.1330006480350996
Dnaaf5,Dynein axonemal assembly factor 5,0.7824908196855576,0.8767733621182441,1.0185081148057054,0.8990850299585371,,0.8296320909019008,0.04714127121634326,0.9587965723821212,0.05971154242358412
Tmf1,TATA element modulatory factor,0.8952554965916739,0.7101688929793224,0.8578468583345497,0.7572049492204525,,0.8027121947854982,0.09254330180617576,0.8075259037775011,0.0503209545570486
Arxes1,Adipocyte-related X-chromosome expressed sequence 1,2.5651219927046855,3.045575439858574,2.2763729153915593,3.293453583619758,0.26551004430064995,2.80534871628163,0.2402267235769442,1.9451121811039889,1.258149639983691
Mfap1a,Microfibrillar-associated protein 1A,0.3295718866495602,0.31078239898198723,0.44942365393297723,0.36075958075046405,0.9025872283657173,0.3201771428157737,0.009394743833786495,0.5709234876830528,0.23729862639164426
Rnaset2a,Ribonuclease T2-A,1.4575583583553648,1.4239131183430063,,1.5355601183707197,,1.4407357383491854,0.01682262000617929,1.5355601183707197,0.0
Slc35g2,Solute carrier family 35 member G2,3.2239400307248056,3.8162310493705904,3.475165583901641,4.727007568514624,1.0364655622231211,3.520085540047698,0.2961455093228924,3.0795462382131285,1.5324079254695389
Safb,Scaffold attachment factor B1,2.353253708021227,2.4660093329047355,2.3926079874872306,2.5850326550748286,0.9432539436087305,2.4096315204629812,0.056377812441754216,1.9736315287235966,0.7328097930133515
Ccdc6,Coiled-coil domain-containing protein 6,0.05247532474549913,0.1818117513932031,0.032776462626648,0.07140112166368184,0.8836115861432222,0.11714353806935111,0.06466821332385198,0.329263056811184,0.3923006373101094
Ptrhd1,Putative peptidyl-tRNA hydrolase PTRHD1,0.8917388979408671,0.724854402985623,1.2494187620691708,0.5685798220893665,,0.8082966504632451,0.08344224747762208,0.9089992920792687,0.34041946998990213
Tent5a,Terminal nucleotidyltransferase 5A,0.869333986049966,0.7598485374964157,0.5854585854160052,0.4403601357282365,,0.8145912617731909,0.05474272427677518,0.5129093605721209,0.07254922484388432
Pdia2,Protein disulfide-isomerase A2,30.451020000010192,7.050258093033892,2.222265001201026,13.923750912439923,3.7856698963416635,18.750639046522043,11.70038095348815,6.6438952699942035,5.187053264148731
Bin2,Bridging integrator 2,1.1298050838832063,1.242016432222681,1.185927342983361,1.3135532928724487,,1.1859107580529438,0.05610567416973733,1.249740317927905,0.06381297494454385
Gls,"Isoform 2 of Glutaminase kidney isoform, mitochondrial",0.14424907313275273,0.13892538005280414,0.22938371942219443,0.3221609980543815,0.6597855338010681,0.14158722659277845,0.002661846539974297,0.40377675042588135,0.18494553924787532
Gls,"Glutaminase kidney isoform, mitochondrial",1.0963279591826678,0.7660802889020129,0.9299627470756894,1.2046829840497912,,0.9312041240423403,0.16512383514032747,1.0673228655627403,0.13736011848705093
Soga1,Protein SOGA1,,,0.963607621166266,1.2065626401053942,,,,1.08508513063583,0.1214775094695641
Dgkd,Diacylglycerol kinase delta,1.151962032554157,1.1076682673005815,,1.0538632124780616,,1.1298151499273694,0.022146882626787767,1.0538632124780616,0.0
Fga,Fibrinogen alpha chain,8.679372494858667,5.475158362896858,7.701837000497639,6.887787052029176,3.373367626929748,7.077265428877762,1.6021070659809045,5.987663893152188,1.878222218897224
Gcn1,Stalled ribosome sensor GCN1,2.439497433114245,2.0194603572871284,1.819227267541395,2.379528517366354,0.7560349671449483,2.2294788952006868,0.2100185379135584,1.651596917350899,0.6733041797144226
Ift140,Intraflagellar transport protein 140 homolog,1.16413618895161,0.8307258147833346,,1.1112969616104302,,0.9974310018674724,0.16670518708413767,1.1112969616104302,0.0
Setd1a,Histone-lysine N-methyltransferase SETD1A,1.0990826567288803,1.0363637667427161,0.9504610703528026,0.8185104641069351,,1.0677232117357982,0.031359444993082075,0.8844857672298688,0.06597530312293376
