	fold_change	P-value	std_error	-log10(P-value)	protein
0					Nova2
1					Krt24
2					Slc9a6
3	1.400445750438711	0.5083256119965498	1.8701823979523604	0.29385800780949917	Cul4b
4					Dhx8
5	-0.25379458540765454	0.23881697596201254	0.17307856934269053	0.6219348052454043	Arfgef2
6					Zmym4
7					Kiaa1522
8	0.22052129509703744	0.8784758081224631	1.3258095696796055	0.05627019380850968	Ptprf
9					Tmem201
10					Osbpl9
11					Szt2
12	0.8356352390087145	0.6340460918222228	1.582563037221884	0.19787917004184177	Ttc39a
13					Pusl1
14	-0.47635660465695345	0.6967752455932474	1.1100339365335383	0.15690728695163292	Ddi2
15					Map7d3
16	0.15636872755998465	0.5981942269704571	0.26618645904506494	0.22315778255674423	Dock11
17	0.8100475232552204	0.46763319348227694	0.9764854687484537	0.3300946693781454	Elapor1
18					Map7d2
19	0.08629175443979664	0.9027491378584923	0.649723554399829	0.0444329176599042	Ckap5
20					Camsap1
21					Ndufaf6
22	-0.7585854652968482	0.652259762434588	1.5211122417988123	0.18557941205182313	Virma
23					Man1b1
24	0.20913685062364218	0.9427468890426507	2.681603915236342	0.02560489204229917	Map7d1
25					Dcaf10
26	0.05514237388642118	0.8958317999864025	0.38739304748228365	0.04777352515378393	Focad
27	1.7566016443335015	0.34019811785148435	1.5527612016063241	0.46826809345412473	Rap1gap
28					Shroom2
29	-0.3451943773800253	0.6263431641597459	0.6385458762970733	0.20318765805688446	Ubr4
30					Ndufaf5
31	-0.4822906659542944	0.46443929110008597	0.5768058842382445	0.33307104649991487	Rtf1
32	-0.8488870760834694	0.4713544024536249	1.0327980713716078	0.3266524322499236	Skt
33	2.9991345550724477	0.27614351245366875	2.2581987307576425	0.5588651553686722	Map3k15
34					Ppig
35	-0.007428697633297343	0.9968032891077783	1.7082718611429055	0.0013905376602248237	Slc25a25
36					Upf2
37	1.574487836697136	0.40347351761160727	1.6227097300681335	0.3941849653597131	Dhtkd1
38	0.2375867176758532	0.7806251416597847	0.7801674762844608	0.107557465470507	Rabgap1
39	-1.0318549793472367	0.21227023322387148	0.6531398797300797	0.6731109029277031	Mocs3
40	0.052477280651134335	0.8116822936375522	0.2018307160792605	0.09061392780322708	Las1l
41	0.16656812124136802	0.43460357062708316	0.18514452954709554	0.36190670991317264	Arid1a
42					Bltp3b
43	0.4992696186891107	0.21116433460576303	0.31501622151731057	0.6753794317438068	Trmt1l
44					Fbxl16
45	0.6337286015828901	0.6531670682959959	1.2744469680109574	0.18497571985984393	Tbc1d8b
46					Ralgapa2
47					Odf2
