Gene,Description,endo_K_I_normalized_values,endo_K_II_normalized_values,endo_C_I_normalized_values,endo_C_II_normalized_values,endo_C_III_normalized_values,average_K,st_deviation_K,average_C,st_deviation_C
Dhx8,ATP-dependent RNA helicase DHX8,,,1.34482682964645,1.5349275568399503,,,,1.4398771932432002,0.09505036359675012
Col6a5,Collagen alpha-5(VI) chain,,,1.1585186526279385,0.6779916633725299,,,,0.9182551580002343,0.2402634946277043
Soga1,Protein SOGA1,,,0.963607621166266,1.2065626401053942,,,,1.08508513063583,0.1214775094695641
Adgrf5,Adhesion G protein-coupled receptor F5,,,1.3940381344349184,1.4478400116789465,,,,1.4209390730569325,0.026900938622014037
Atn1,Atrophin-1,,,1.3012805469266258,1.2476530018759542,,,,1.27446677440129,0.02681377252533579
Anxa8,Annexin A8,,,1.223594808058541,1.6099354128429004,,,,1.4167651104507208,0.1931703023921797
Tpmt,Thiopurine S-methyltransferase,,,1.0608561671775767,1.3481622452966373,,,,1.204509206237107,0.1436530390595303
KRT33A,"Keratin, type I cuticular Ha3-I",,,0.7318963496944779,1.5019934713166945,,,,1.1169449105055862,0.3850485608111083
Becn1,Beclin-1,,,0.8686873422942745,2.3435567008336715,,,,1.6061220215639729,0.7374346792696985
SERPINC1,Antithrombin-III,,,,,0.22713939275980985,,,0.22713939275980985,0.0
RBP4,Retinol-binding protein 4,,,,,0.003773746375723421,,,0.003773746375723421,0.0
Mpo,Myeloperoxidase,,,,1.2841805010188911,0.6779083579515973,,,0.9810444294852443,0.3031360715336469
Klkb1,Plasma kallikrein,,,0.8640635558746734,0.9534780276029732,,,,0.9087707917388232,0.04470723586414987
Apoc1,Apolipoprotein C-I,,,1.4909261127039917,1.2391096932245758,12.877866986553318,,,5.202634264160628,5.4281826844992045
Rfx3,Transcription factor RFX3,,,1.3764693712443572,1.3847135772075159,,,,1.3805914742259366,0.004122102981579334
Stat6,Signal transducer and transcription activator 6,,,1.0102306099357818,,0.4974745842198922,,,0.753852597077837,0.2563780128579448
Cnbp,Isoform 2 of CCHC-type zinc finger nucleic acid binding protein,,,0.3171624459579065,0.34794986845789433,,,,0.33255615720790044,0.015393711249993919
