	Gene	Description
0	Dhx8	ATP-dependent RNA helicase DHX8
1	Col6a5	Collagen alpha-5(VI) chain
2	Soga1	Protein SOGA1
3	Adgrf5	Adhesion G protein-coupled receptor F5
4	Atn1	Atrophin-1
5	Anxa8	Annexin A8
6	Tpmt	Thiopurine S-methyltransferase
7	KRT33A	Keratin, type I cuticular Ha3-I
8	Becn1	Beclin-1
9	SERPINC1	Antithrombin-III
10	RBP4	Retinol-binding protein 4
11	Mpo	Myeloperoxidase
12	Klkb1	Plasma kallikrein
13	Apoc1	Apolipoprotein C-I
14	Rfx3	Transcription factor RFX3
15	Stat6	Signal transducer and transcription activator 6
16	Cnbp	Isoform 2 of CCHC-type zinc finger nucleic acid binding protein
17	Foxp1	Isoform 2 of Forkhead box protein P1
18	PPIA	Peptidyl-prolyl cis-trans isomerase A
19	Was	Actin nucleation-promoting factor WAS
20	Serpinf1	Pigment epithelium-derived factor
21	Rbbp6	Isoform 2 of E3 ubiquitin-protein ligase RBBP6
22	Apoh	Beta-2-glycoprotein 1
23	Aqp1	Aquaporin-1
24	Yes1	Tyrosine-protein kinase Yes
25	Afg2a	ATPase family gene 2 protein homolog A
26	Mars2	Methionine--tRNA ligase, mitochondrial
27	Leo1	RNA polymerase-associated protein LEO1
28	Flot2	Isoform 2 of Flotillin-2
29	Rgl2	Ral guanine nucleotide dissociation stimulator-like 2
30	Ppp1r14b	Protein phosphatase 1 regulatory subunit 14B
31	Krt12	Keratin, type I cytoskeletal 12
32	Cd34	Hematopoietic progenitor cell antigen CD34
33	Azgp1	Zinc-alpha-2-glycoprotein
34	Retreg2	Isoform 2 of Reticulophagy regulator 2
35	G6pc3	Glucose-6-phosphatase 3
36	Galnt10	Polypeptide N-acetylgalactosaminyltransferase 10
37	Taok2	Serine/threonine-protein kinase TAO2
38	Serpina12	Serpin A12
39	Celf6	CUGBP Elav-like family member 6
40	Erbin	Isoform 1 of Erbin
41	Atg2b	Autophagy-related protein 2 homolog B
42	Lyset	Lysosomal enzyme trafficking factor
43	Ubap1	Isoform 2 of Ubiquitin-associated protein 1
44	Dennd6a	Isoform 2 of Protein DENND6A
45	Mterf2	Transcription termination factor 2, mitochondrial
46	Cnot4	Isoform 3 of CCR4-NOT transcription complex subunit 4
47	Ss18l1	Calcium-responsive transactivator
48	Cdan1	Isoform 2 of Codanin-1
49	Wdr24	GATOR complex protein WDR24
50	Get1	Guided entry of tail-anchored proteins factor 1
51	Brd3	Bromodomain-containing protein 3
52	Ushbp1	Harmonin-binding protein USHBP1
53	Psme3ip1	PSME3-interacting protein
54	Rnf126	E3 ubiquitin-protein ligase RNF126
55	Galnt11	Polypeptide N-acetylgalactosaminyltransferase 11
56	Rnf34	E3 ubiquitin-protein ligase RNF34
57	Rpp14	Ribonuclease P protein subunit p14
58	Mrpl20	Large ribosomal subunit protein bL20m
59	Rbm7	RNA-binding protein 7
60	Ppdpf	Pancreatic progenitor cell differentiation and proliferation factor
61	Rrs1	Ribosome biogenesis regulatory protein homolog
62	Dph7	Diphthine methyltransferase
63	Ift46	Intraflagellar transport protein 46 homolog
64	Susd2	Isoform 2 of Sushi domain-containing protein 2
65	Ikbip	Isoform 2 of Inhibitor of nuclear factor kappa-B kinase-interacting protein
66	Pgpep1	Pyroglutamyl-peptidase 1
67	Wdr12	Ribosome biogenesis protein WDR12
68	Rilpl1	RILP-like protein 1
69	Tspan3	Tetraspanin-3
70	Prkab1	5'-AMP-activated protein kinase subunit beta-1
71	Aloxe3	Hydroperoxide isomerase ALOXE3
72	Ap4s1	AP-4 complex subunit sigma-1
73	Gys1	Glycogen [starch] synthase, muscle
74	Arih2	E3 ubiquitin-protein ligase ARIH2
75	Ighv5-9	Immunoglobulin heavy variable 5-9 (Fragment)
76	Spata6l	Spermatogenesis associated 6 like
77	Ntrk2	Neurotrophic tyrosine kinase, receptor, type 2
78	Acbd5	Acyl-CoA-binding domain-containing protein 5
79	Lztr1	Leucine-zipper-like transcriptional regulator, 1 (Fragment)
80	Bltp3a	UHRF1 (ICBP90) binding protein 1
81	Tsen34	tRNA splicing endonuclease subunit 34 (Fragment)
82	Eci2	Enoyl-Coenzyme A delta isomerase 2 (Fragment)
83	Slc4a1ap	Solute carrier family 4 (anion exchanger), member 1, adaptor protein
84	C6	Complement component C6
85	Slc35c1	Solute carrier family 35, member C1 (Fragment)
86	Prcc	Papillary Renal Cell carcinoma (Translocation-associated)
