	Gene	Description
0	Hps1	BLOC-3 complex member HPS1
1	Hap1	Isoform A of Huntingtin-associated protein 1
2	Pbx2	Pre-B-cell leukemia transcription factor 2
3	Mt-Cyb	Cytochrome b
4	S100a4	Protein S100-A4
5	Serpina1a	Alpha-1-antitrypsin 1-1
6	Emb	Embigin
7	Rab12	Ras-related protein Rab-12
8	Yap1	Isoform 2 of Transcriptional coactivator YAP1
9	Kmt2a	Isoform 2 of Histone-lysine N-methyltransferase 2A
10	Ypel5	Protein yippee-like 5
11	Pip5k1b	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta
12	Entpd7	Ectonucleoside triphosphate diphosphohydrolase 7
13	Smcr8	Isoform 2 of Guanine nucleotide exchange protein SMCR8
14	Sh3gl1	Endophilin-A2
15	Wipf2	WAS/WASL-interacting protein family member 2
16	Camk2n1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
17	Ldhd	Probable D-lactate dehydrogenase, mitochondrial
18	Coa6	Cytochrome c oxidase assembly factor 6 homolog
19	Smg1	Serine/threonine-protein kinase SMG1
20	Sfr1	Isoform 2 of Swi5-dependent recombination DNA repair protein 1 homolog
21	Pgghg	Isoform 3 of Protein-glucosylgalactosylhydroxylysine glucosidase
22	Cfap410	Cilia- and flagella-associated protein 410
23	Rmnd1	Required for meiotic nuclear division protein 1 homolog
24	Mcfd2	Multiple coagulation factor deficiency protein 2 homolog
25	Rbks	Ribokinase
26	Ubqln1	Isoform 2 of Ubiquilin-1
27	Tdrd3	Isoform 2 of Tudor domain-containing protein 3
28	Brap	Isoform 2 of BRCA1-associated protein
29	Glipr2	Golgi-associated plant pathogenesis-related protein 1
30	Tmed11	Transmembrane emp24 domain-containing protein 11
31	Mrpl17	Large ribosomal subunit protein bL17m
32	Znf593	Zinc finger protein 593
33	Rgs3	Isoform 5 of Regulator of G-protein signaling 3
34	Oga	Isoform 3 of Protein O-GlcNAcase
35	Inpp5d	Isoform 2 of Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1
36	Plscr1	Phospholipid scramblase 1
37	Cryba2	Beta-crystallin A2
38	Abcb11	Bile salt export pump
39	Iigp1	Interferon-inducible GTPase 1
40	Bex1	Protein BEX1
41	Gipc1	PDZ domain-containing protein GIPC1
42	Ighv2-5	Immunoglobulin heavy variable 2-5
43	Ighv5-9-1	Immunoglobulin heavy variable 5-9-1
44	Ighv1-77	Immunoglobulin heavy variable 1-77
45	Epb41	Erythrocyte membrane protein band 4.1 (Fragment)
46	Gm10334	Predicted gene 10334
