Gene,Description,exo_K_I_normalized_values,exo_K_II_normalized_values,exo_K_III_normalized_values,exo_C_I_normalized_values,exo_C_II_normalized_values,exo_C_III_normalized_values,average_K,st_deviation_K,average_C,st_deviation_C
Afg2b,ATPase family gene 2 protein homolog B,1.4571828333344439,,,1.40450709446975,1.4760030540937066,,1.4571828333344439,0.0,1.4402550742817284,0.0357479798119783
Krt24,"Keratin, type I cytoskeletal 24",,,,,,,,,,
Slc9a6,Sodium/hydrogen exchanger 6,,0.868251734125053,1.058964899317884,0.5287169444311568,0.41605731714320116,,0.9636083167214684,0.0953565825964155,0.472387130787179,0.05632981364397782
Cul4b,Isoform 2 of Cullin-4B,0.5158554734440838,0.32590317830020793,0.197568644562308,0.32076574943990016,0.6522022522926212,0.6958650840051485,0.3464424321021999,0.13074917990810034,0.5562776952458899,0.16748336868931538
Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,0.38414466538279574,0.4032675659341579,0.30804005319815914,0.2931454261082677,0.26084900850630616,0.2873467096147505,0.36515076150503756,0.041131059503813246,0.28044704807644144,0.0140586543805465
Kiaa1522,Isoform 2 of Uncharacterized protein KIAA1522,1.0437436000808527,0.8905463915530621,0.8528888146177097,0.9571771907333247,1.1833720446626812,0.9607842782135445,0.9290596020838748,0.08253822477126828,1.0337778378698501,0.10578932775255014
Itgb4,Isoform 2 of Integrin beta-4,0.2721884225046145,0.05496402827663906,0.3669872063050732,0.1110832939466184,0.1738858073528681,0.07177594056198218,0.23137988569544224,0.13061040901377946,0.11891501395382288,0.042052412556368685
Camta1,Isoform 2 of Calmodulin-binding transcription activator 1,,,,,,,,,,
Ttc39a,Isoform 2 of Tetratricopeptide repeat protein 39A,0.44842031670298366,0.6445073824551079,0.7233688877632326,0.707512598230865,0.6527423343265658,0.5625240588477901,0.6054321956404413,0.11559795802830027,0.6409263304684069,0.05977810412122141
Pusl1,tRNA pseudouridine synthase-like 1,,0.8945258863862365,0.9150528420673619,1.1702733463304915,1.129077773701681,0.8635452899800141,0.9047893642267992,0.010263477840562696,1.0542988033373955,0.13592754428908668
Ddi2,Protein DDI1 homolog 2,0.0580778085788348,0.16413112843496122,0.3187702840942658,0.3170229644922668,0.15812467550465795,0.014467205218322975,0.18032640703602057,0.10704160245535485,0.16320494840508257,0.12357009818186936
Elapor1,Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1,1.5798655767090697,2.603073233627734,3.371285447569948,2.585418568240459,1.3665184772302765,3.083418801787921,2.518074752635584,0.733809623247988,2.345118615752886,0.721223373392129
Ckap5,Isoform 2 of Cytoskeleton-associated protein 5,0.4477952625605008,0.2741422190941167,0.34133645936471846,0.3021311203086838,0.4977576362279969,0.2160274919912994,0.3544246470064453,0.071495083132074,0.33863874950932665,0.11787726324528217
Lzts3,Isoform 2 of Leucine zipper putative tumor suppressor 3,,,,,,,,,,
Ndor1,Isoform 2 of NADPH-dependent diflavin oxidoreductase 1,,,,,,,,,,
Fggy,Isoform 2 of FGGY carbohydrate kinase domain-containing protein,,,,,,,,,,
Focad,Focadhesin,1.8751249441915943,2.6540590995167337,1.641883875489159,2.94579158511143,2.8228260859453256,1.869734351510914,2.0570226397324958,0.432773805250222,2.54611734085589,0.4809023391519506
Slc35d1,Isoform 2 of Nucleotide sugar transporter SLC35D1,,,,,,,,,,
Rap1gap,Isoform 2 of Rap1 GTPase-activating protein 1,1.3471392500238781,2.4946927638149132,2.9514228608402067,1.3344084374918541,0.6510284661120515,2.971095747766171,2.2644182915596662,0.6748833111053563,1.652177550456692,0.9734512330590676
Shroom2,Protein Shroom2,0.010240703596837904,1.2724354376109432,,0.48577238168570586,1.1713432946396705,,0.6413380706038906,0.6310973670070527,0.8285578381626881,0.3427854564769823
Dnajc25,DnaJ homolog subfamily C member 25,0.6562070330807793,0.2940224689640529,0.6003204592096726,0.6482064286547385,1.2770236450665897,0.37571761767015205,0.5168499870848349,0.15920616489039877,0.7669825637971601,0.37742016062103795
Ubr4,Isoform 3 of E3 ubiquitin-protein ligase UBR4,2.5317136123642547,2.4598577627391256,2.7109962606087126,2.6342464128266245,1.8933200411170505,3.1714419445297666,2.5675225452373645,0.10560727889427977,2.5663361328244805,0.5239960270799218
Klhdc7a,Kelch domain-containing protein 7A,,,,,,,,,,
Skt,Sickle tail protein,0.8122820001510436,0.8363804981516624,,0.9200008746741491,1.397573433805093,0.8298966592392323,0.824331249151353,0.012049249000309403,1.0491569892394914,0.2490986505283755
Upf2,Regulator of nonsense transcripts 2,1.0668228607888475,1.0205552960265807,0.9211965491714428,0.9491531859020744,0.9417526121513835,1.135944365311728,1.002858235328957,0.060754396970227026,1.008950054455062,0.08984934934073256
Dhtkd1,2-oxoadipate dehydrogenase complex component E1,0.6133002258990983,0.3894725298235029,0.04202512910173893,0.31206648841358753,0.36600114528513994,0.08016082649969729,0.34826596160811335,0.2350351675860093,0.25274282006614157,0.1240044224493336
Rabgap1,Isoform 2 of Rab GTPase-activating protein 1,0.8195994677932745,0.5563599355921827,0.7013254473738061,0.7305256530009383,0.16807917842804437,0.725203323288415,0.6924282835864211,0.10765107979318209,0.5412693849057992,0.26389427107154634
Arhgef10l,Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein,1.0472172013167451,0.982061107024674,1.1339164883548665,0.8777771752101197,1.1266934403544122,0.7467765125975989,1.0543982655654285,0.06220230420459965,0.9170823760540436,0.15757091971358975
Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,0.606865183551347,0.6309150730577449,0.5432473993822917,0.569576630257117,0.746111235981315,0.6595532009698167,0.5936758853304612,0.03698534342669657,0.6584136890694162,0.07207445511449889
Las1l,Isoform 2 of Ribosomal biogenesis protein LAS1L,,,,,,,,,,
Arid1a,Isoform 3 of AT-rich interactive domain-containing protein 1A,1.2409755170468302,,1.1159805797297953,1.2205954851374676,,1.013783915749139,1.1784780483883126,0.06249746865851746,1.1171897004433033,0.10340578469416428
Trmt1l,Isoform 2 of TRMT1-like protein,0.981943134844214,,,1.3566351414680462,,,0.981943134844214,0.0,1.3566351414680462,0.0
Tbc1d8b,TBC1 domain family member 8B,0.9598775047145608,3.0583965217191786,2.299596748489412,2.327902773960589,1.5571139006171817,2.5548465727708947,2.1059569249743837,0.8675896887817824,2.146621082449555,0.42701671320029405
Ralgapa2,Isoform 2 of Ral GTPase-activating protein subunit alpha-2,,,,,,,,,,
Ttc38,Tetratricopeptide repeat protein 38,4.65230044469026,4.133141240185381,4.066056145119796,6.5286363245391215,4.368272602107516,3.729462486227686,4.28383260999848,0.2619815660141338,4.875457137624775,1.1977118905292392
Exoc6b,Exocyst complex component 6B,,,,,,,,,,
Armt1,Isoform 2 of Damage-control phosphatase ARMT1,,,,,,,,,,
Dennd4c,Isoform 2 of DENN domain-containing protein 4C,,0.9136718775199164,1.0793438696531463,1.3164925883155227,,0.9974145607199031,0.9965078735865314,0.08283599606661496,1.1569535745177129,0.15953901379780983
Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",0.9810116481305018,,,1.3902514239213883,1.564397551571731,0.49909020059732667,0.9810116481305018,0.0,1.1512463920301486,0.46659225022998757
Thada,Thyroid adenoma-associated protein homolog,,0.32564822622169276,1.0652093862200518,1.2205606176801556,1.3799662605188503,,0.6954288062208722,0.3697805799991795,1.300263439099503,0.07970282141934737
Tmem238,Transmembrane protein 238,0.9240565047612065,,,0.5520705504158401,1.0535882147661384,,0.9240565047612065,0.0,0.8028293825909892,0.25075883217514916
Nfx1,Transcriptional repressor NF-X1,0.5271711968654,0.5494219891894144,0.7354508506622879,0.36058377199738484,0.7457223419601088,0.7045587478961016,0.6040146789057008,0.09338227838400569,0.6036216206178651,0.1726734051431974
Usp24,Ubiquitin carboxyl-terminal hydrolase 24,,1.4100789137618013,1.0587705160403567,1.3982055323398332,1.391461764810935,1.380216235122728,1.234424714901079,0.1756541988607223,1.3899611774244989,0.007420356032320184
Otud3,OTU domain-containing protein 3,1.345874981397198,,,1.405996059250582,1.2058270307083068,,1.345874981397198,0.0,1.3059115449794443,0.10008451427113763
Tmem245,Transmembrane protein 245,,0.705630786459565,,0.6885607382223979,0.8392905253717193,,0.705630786459565,0.0,0.7639256317970586,0.0753648935746607
Thoc2,THO complex subunit 2,1.1586571886779458,1.0959198291570835,1.0896901285845304,1.1159253808635832,1.2213142452852555,1.1665035347758443,1.1147557154731864,0.03114703628990576,1.1679143869748945,0.04303638820012725
Cad,CAD protein,4.640555135372866,3.7362801373790346,4.4176398738057605,5.523425779521842,3.430901003030837,6.635482653737503,4.264825048852554,0.3846579398576483,5.1966031454300605,1.328519392563888
Gnai1,Guanine nucleotide-binding protein G(i) subunit alpha-1,1.7546413990639735,2.865923139309276,2.1016966078195565,3.5701456529486117,1.9259351266135476,2.432611576658715,2.2407537153976023,0.46421218993518915,2.642897452073625,0.687518327405177
Trappc11,Trafficking protein particle complex subunit 11,1.1240842423717405,0.8143665804980639,,1.2524924418043726,,,0.9692254114349022,0.15485883093683833,1.2524924418043726,0.0
Plxnb2,Plexin-B2,,,,0.9809940542506629,,1.1256156255389365,,,1.0533048398947997,0.07231078564413679
Dock5,Dedicator of cytokinesis protein 5,,1.183915864709135,1.1809367399727875,1.2134488837746362,,,1.1824263023409611,0.001489562368173769,1.2134488837746362,0.0
Rbm25,RNA-binding protein 25,1.0313179557575394,0.8733971837983657,0.8115827806646937,1.0739851914565783,1.1670819239155277,0.8811454392671606,0.905432640073533,0.09252239237914067,1.0407375182130887,0.1190769335215567
Xpnpep3,Xaa-Pro aminopeptidase 3,0.8301833514363584,0.520034317947211,0.449118600963448,0.8102004576793855,0.8280380692712859,0.5183283041363391,0.599778756782339,0.1654729940848203,0.7188556103623368,0.141981091472344
Pdzd8,PDZ domain-containing protein 8,,,,,,,,,,
Osbpl8,Oxysterol-binding protein-related protein 8,0.48234516360470103,0.050654379438922335,0.09965773941448265,0.4369279996857893,0.7141138703683025,0.17995116635030223,0.2108857608193687,0.1929904796315966,0.4436643454681313,0.21812302699291808
Tmf1,TATA element modulatory factor,1.2799151795531327,0.954863293769288,,1.0419466331844331,1.2695460404428922,0.9666236501273315,1.1173892366612104,0.16252594289192235,1.0927054412515522,0.12877069046932277
Safb,Scaffold attachment factor B1,0.49132901193022654,0.3799925048313744,0.35370728076443847,0.33909159404874045,0.8001331683637095,0.12350730034683566,0.4083429325086798,0.05965313785757183,0.4209106875864286,0.28222498633524484
Ccdc6,Coiled-coil domain-containing protein 6,1.1314749273102458,0.911409482498141,,1.1533379687617946,,1.019440397971849,1.0214422049041934,0.11003272240605239,1.0863891833668218,0.06694878539497284
Tent5a,Terminal nucleotidyltransferase 5A,,,,,,,,,,
Pdia2,Protein disulfide-isomerase A2,160.88203588508244,256.93921872576055,160.82444576364864,181.6814654448317,209.84020938087934,175.4410181150541,192.88190012483054,45.29537046918674,188.98756431358836,14.963520094900632
