Gene,Description,exo_K_I_normalized_values,exo_K_II_normalized_values,exo_K_III_normalized_values,exo_C_I_normalized_values,exo_C_II_normalized_values,exo_C_III_normalized_values,average_K,st_deviation_K,average_C,st_deviation_C
Plxnb2,Plexin-B2,,,,0.9809940542506629,,1.1256156255389365,,,1.0533048398947997,0.07231078564413679
Tex264,Isoform 2 of Testis-expressed protein 264 homolog,,,,4.867045168877194,0.19429802148369552,,,,2.530671595180445,2.3363735736967493
Psmd4,Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4,,,,0.6975138743894924,0.09523280205345071,,,,0.3963733382214716,0.30114053616802083
Psmd4,26S proteasome non-ATPase regulatory subunit 4,1.1051015268735518,1.4890449334270401,1.2502088098573663,1.9892564303973037,1.5712519390785888,1.2269576170524341,1.2814517567193193,0.1582934535505463,1.5958219955094421,0.31169176650606883
Dhodh,"Dihydroorotate dehydrogenase (quinone), mitochondrial",,,,1.3459708997719353,,0.1098381151333457,,,0.7279045074526405,0.6180663923192948
Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",,,,0.3415849644676548,,0.5404811777643328,,,0.44103307111599377,0.099448106648339
Npc1,NPC intracellular cholesterol transporter 1,,,,1.196369546727254,,1.3783013752059632,,,1.2873354609666086,0.09096591423935463
Sptlc1,Serine palmitoyltransferase 1,,,,1.0015212482672458,0.8801760574964376,,,,0.9408486528818416,0.06067259538540409
Rab33b,Ras-related protein Rab-33B,,,,1.016875300245306,1.0856555784838737,,,,1.05126543936459,0.0343901391192839
Man2b2,Epididymis-specific alpha-mannosidase,,,,1.2757052213750852,1.1677205050948218,,,,1.2217128632349534,0.0539923581401317
Reps1,Isoform 3 of RalBP1-associated Eps domain-containing protein 1,,,,0.85682068672838,1.0648735837893524,1.3037227754505114,,,1.0751390153227478,0.1825913534635491
Ap1g2,AP-1 complex subunit gamma-like 2,,,,1.236714360201861,,1.1180624915154789,,,1.17738842585867,0.05932593434319111
