Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	endo_control_1 Spectral Count	endo_control_2 Spectral Count	endo_control_3 Spectral Count	endo_hyb_1 Spectral Count	endo_hyb_2 Spectral Count	endo_hyb_3 Spectral Count	endo_control_1 Unique Spectral Count	endo_control_2 Unique Spectral Count	endo_control_3 Unique Spectral Count	endo_hyb_1 Unique Spectral Count	endo_hyb_2 Unique Spectral Count	endo_hyb_3 Unique Spectral Count	endo_control_1 Total Spectral Count	endo_control_2 Total Spectral Count	endo_control_3 Total Spectral Count	endo_hyb_1 Total Spectral Count	endo_hyb_2 Total Spectral Count	endo_hyb_3 Total Spectral Count	endo_control_1 Intensity	endo_control_2 Intensity	endo_control_3 Intensity	endo_hyb_1 Intensity	endo_hyb_2 Intensity	endo_hyb_3 Intensity	endo_control_1 MaxLFQ Intensity	endo_control_2 MaxLFQ Intensity	endo_control_3 MaxLFQ Intensity	endo_hyb_1 MaxLFQ Intensity	endo_hyb_2 MaxLFQ Intensity	endo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A1W2P872-2|NOVA2_MOUSE	A0A1W2P872-2	NOVA2_MOUSE	Nova2	556	Mus musculus		Isoform 2 of RNA-binding protein Nova-2	1.0	0.999	4	5	0	5	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	4	0	0	82043.08	18748.613	0.0	94409.67	0.0	152955.52	53072.785	16506.979	0.0	105058.97	0.0	134667.75	sp|A0A1W2P872|NOVA2_MOUSE
sp|A1L317|K1C24_MOUSE	A1L317	K1C24_MOUSE	Krt24	512	Mus musculus	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 24	1.0	0.9986	3	9	9	46	2	3	0	2	2	0	2	3	0	2	2	0	6	6	9	5	4	16	4819.2246	8766.03	0.0	6754.2314	7672.054	0.0	3893.2673	6761.1763	0.0	4934.914	5461.6787	0.0	
sp|A1L3P4|SL9A6_MOUSE	A1L3P4	SL9A6_MOUSE	Slc9a6	702	Mus musculus	1:Experimental evidence at protein level	Sodium/hydrogen exchanger 6	0.9434	0.999	1	4	0	4	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	71028.87	44453.414	0.0	48748.48	62602.85	0.0	71028.87	44453.414	0.0	48748.48	62602.85	0.0	tr|B0QZV3|B0QZV3_MOUSE
sp|A2A432-2|CUL4B_MOUSE	A2A432-2	CUL4B_MOUSE	Cul4b	941	Mus musculus		Isoform 2 of Cullin-4B	1.0	0.999	17	63	0	63	13	17	1	17	13	2	0	0	0	0	0	0	13	17	1	17	13	2	691701.44	688054.9	90024.96	711847.56	739151.06	116634.734	102410.69	91170.81	130141.63	106714.5	88630.59	92888.51	sp|A2A432|CUL4B_MOUSE, tr|E9PXY1|E9PXY1_MOUSE
sp|A2A4P0|DHX8_MOUSE	A2A4P0	DHX8_MOUSE	Dhx8	1244	Mus musculus	2:Experimental evidence at transcript level	ATP-dependent RNA helicase DHX8	1.0	0.999	4	3	1	9	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	4	2	1	0.0	0.0	0.0	23020.998	6690.6333	0.0	0.0	0.0	0.0	21817.18	6690.6333	0.0	
sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	Mus musculus	1:Experimental evidence at protein level	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	1.0	0.999	28	100	48	100	25	25	1	23	24	2	10	9	0	16	12	1	25	25	1	23	24	2	1513955.6	1184301.5	39622.22	1227726.9	1365692.0	442916.53	134175.2	138163.9	156909.42	143097.7	127159.86	132209.2	
sp|A2A791-2|ZMYM4_MOUSE	A2A791-2	ZMYM4_MOUSE	Zmym4	1460	Mus musculus		Isoform 2 of Zinc finger MYM-type protein 4	0.9424	0.999	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	19316.883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2A791|ZMYM4_MOUSE
sp|A2A7S8-2|K1522_MOUSE	A2A7S8-2	K1522_MOUSE	Kiaa1522	1070	Mus musculus		Isoform 2 of Uncharacterized protein KIAA1522	1.0	0.999	3	7	2	7	0	3	0	2	2	0	0	1	0	0	1	0	0	3	0	2	2	0	13920.695	72629.07	0.0	66690.93	33332.28	0.0	15210.785	28539.475	0.0	34427.453	24113.814	0.0	
sp|A2A8L5|PTPRF_MOUSE	A2A8L5	PTPRF_MOUSE	Ptprf	1898	Mus musculus	1:Experimental evidence at protein level	Receptor-type tyrosine-protein phosphatase F	1.0	0.999	15	48	3	48	16	9	0	14	9	0	0	2	0	1	0	0	16	9	0	14	9	0	656779.4	480538.3	0.0	580091.4	574824.9	266771.62	108869.28	100502.77	0.0	98456.055	97386.7	111496.96	
sp|A2A8U2-2|TM201_MOUSE	A2A8U2-2	TM201_MOUSE	Tmem201	392	Mus musculus		Isoform 2 of Transmembrane protein 201	1.0	0.999	2	4	0	4	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	42385.234	38568.99	0.0	20666.646	38703.234	0.0	24644.682	29660.42	0.0	59094.63	24369.371	0.0	sp|A2A8U2-3|TM201_MOUSE, sp|A2A8U2|TM201_MOUSE
