Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	exo_control_1 Spectral Count	exo_control_2 Spectral Count	exo_control_3 Spectral Count	exo_hyb_1 Spectral Count	exo_hyb_2 Spectral Count	exo_hyb_3 Spectral Count	exo_control_1 Unique Spectral Count	exo_control_2 Unique Spectral Count	exo_control_3 Unique Spectral Count	exo_hyb_1 Unique Spectral Count	exo_hyb_2 Unique Spectral Count	exo_hyb_3 Unique Spectral Count	exo_control_1 Total Spectral Count	exo_control_2 Total Spectral Count	exo_control_3 Total Spectral Count	exo_hyb_1 Total Spectral Count	exo_hyb_2 Total Spectral Count	exo_hyb_3 Total Spectral Count	exo_control_1 Intensity	exo_control_2 Intensity	exo_control_3 Intensity	exo_hyb_1 Intensity	exo_hyb_2 Intensity	exo_hyb_3 Intensity	exo_control_1 MaxLFQ Intensity	exo_control_2 MaxLFQ Intensity	exo_control_3 MaxLFQ Intensity	exo_hyb_1 MaxLFQ Intensity	exo_hyb_2 MaxLFQ Intensity	exo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A7N9VSG0|AFG2B_MOUSE	A0A7N9VSG0	AFG2B_MOUSE	Afg2b	747	Mus musculus	2:Experimental evidence at transcript level	ATPase family gene 2 protein homolog B	0.9997	0.999	1	3	3	3	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	12438.423	0.0	0.0	14162.597	12477.221	0.0	12438.423	0.0	0.0	14162.597	12477.221	0.0	
sp|A1L317|K1C24_MOUSE	A1L317	K1C24_MOUSE	Krt24	512	Mus musculus	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 24	0.9998	0.9952	4	2	2	27	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	2	22	1	0.0	0.0	14989.302	2683.812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L3P4|SL9A6_MOUSE	A1L3P4	SL9A6_MOUSE	Slc9a6	702	Mus musculus	1:Experimental evidence at protein level	Sodium/hydrogen exchanger 6	0.9251	0.9989	1	4	0	4	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0.0	45973.39	41277.06	68391.7	87674.836	0.0	0.0	45973.39	41277.06	68391.7	87674.836	0.0	tr|B0QZV3|B0QZV3_MOUSE
sp|A2A432-2|CUL4B_MOUSE	A2A432-2	CUL4B_MOUSE	Cul4b	941	Mus musculus		Isoform 2 of Cullin-4B	1.0	0.999	5	8	0	23	1	3	1	1	1	1	0	0	0	0	0	0	3	5	5	4	2	4	80244.266	104718.71	96612.35	81268.08	70921.586	59558.387	80244.266	79350.05	96612.35	81268.08	70921.586	59558.387	sp|A2A432|CUL4B_MOUSE, tr|E9PXY1|E9PXY1_MOUSE
sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	Mus musculus	1:Experimental evidence at protein level	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	1.0	0.999	16	65	50	65	10	13	9	12	10	11	9	9	7	10	7	8	10	13	9	12	10	11	427287.12	380507.03	385984.2	632890.0	520217.78	491424.47	89731.68	74588.97	89515.77	82978.336	98686.055	84821.39	
sp|A2A7S8-2|K1522_MOUSE	A2A7S8-2	K1522_MOUSE	Kiaa1522	1070	Mus musculus		Isoform 2 of Uncharacterized protein KIAA1522	1.0	0.999	7	27	7	27	5	7	3	5	3	4	2	1	2	1	0	1	5	7	3	5	3	4	108018.03	174014.89	80187.46	136376.22	71905.67	99836.984	42219.344	44601.355	54515.195	41861.355	33237.863	43175.637	
sp|A2A863-2|ITB4_MOUSE	A2A863-2	ITB4_MOUSE	Itgb4	1753	Mus musculus		Isoform 2 of Integrin beta-4	1.0	0.999	14	70	0	70	8	11	14	12	10	15	0	0	0	0	0	0	8	11	14	12	10	15	303014.38	485153.66	458657.7	613208.06	485481.2	602833.94	97796.13	96023.91	85729.06	108008.26	104855.64	107029.734	sp|A2A863|ITB4_MOUSE
sp|A2A891-2|CMTA1_MOUSE	A2A891-2	CMTA1_MOUSE	Camta1	1675	Mus musculus		Isoform 2 of Calmodulin-binding transcription activator 1	0.998	0.998	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1048298.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2A891-5|CMTA1_MOUSE, sp|A2A891|CMTA1_MOUSE
sp|A2ACP1-2|TT39A_MOUSE	A2ACP1-2	TT39A_MOUSE	Ttc39a	576	Mus musculus		Isoform 2 of Tetratricopeptide repeat protein 39A	1.0	0.999	4	19	0	19	3	3	4	4	3	2	0	0	0	0	0	0	3	3	4	4	3	2	196663.66	158164.06	142773.53	115017.984	127917.21	121385.05	85101.766	59742.836	62835.434	57320.637	70883.27	67804.27	sp|A2ACP1|TT39A_MOUSE
sp|A2ADA5|PUSL1_MOUSE	A2ADA5	PUSL1_MOUSE	Pusl1	291	Mus musculus	1:Experimental evidence at protein level	tRNA pseudouridine synthase-like 1	1.0	0.999	2	7	5	7	0	2	2	1	1	1	0	1	1	1	1	1	0	2	2	1	1	1	0.0	60514.594	70459.35	28666.398	37089.758	49188.95	0.0	44356.453	50521.836	28666.398	37089.758	49188.95	
sp|A2ADY9|DDI2_MOUSE	A2ADY9	DDI2_MOUSE	Ddi2	399	Mus musculus	1:Experimental evidence at protein level	Protein DDI1 homolog 2	1.0	0.999	6	23	23	23	4	3	1	7	4	4	4	3	1	7	4	4	4	3	1	7	4	4	332651.12	187588.64	81472.84	474823.97	312918.2	221864.72	113218.98	89305.66	88826.47	120760.086	105973.81	103485.73	
sp|A2AFS3-2|ELAP1_MOUSE	A2AFS3-2	ELAP1_MOUSE	Elapor1	911	Mus musculus		Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1	1.0	0.999	8	22	0	22	1	6	5	5	1	4	0	0	0	0	0	0	1	6	5	5	1	4	36879.297	1150497.4	2678918.5	2443526.0	34157.37	136379.56	231203.58	259602.12	325872.2	261219.6	214139.28	293271.4	sp|A2AFS3-3|ELAP1_MOUSE, tr|A0A0A0MQC6|A0A0A0MQC6_MOUSE
