	Gene	Description
0	Ntn1	Netrin-1
1	CTSG	Cathepsin G
2	Krt13	Keratin, type I cytoskeletal 13
3	Surf1	Surfeit locus protein 1
4	Mpo	Myeloperoxidase
5	Sptan1	Isoform 2 of Spectrin alpha chain, non-erythrocytic 1
6	Scp2	Sterol carrier protein 2
7	Serpinb5	Serpin B5
8	Bop1	Ribosome biogenesis protein BOP1
9	Dtymk	Thymidylate kinase
10	KRT31	Keratin, type I cuticular Ha1
11	Khdc4	Isoform 2 of KH homology domain-containing protein 4
12	Dtx3l	Isoform 2 of E3 ubiquitin-protein ligase DTX3L
13	Eef2kmt	Isoform 3 of Protein-lysine N-methyltransferase EEF2KMT
14	Orm1	Alpha-1-acid glycoprotein 1
15	Ncor1	Isoform 2 of Nuclear receptor corepressor 1
16	Mapkap1	Isoform 2 of Target of rapamycin complex 2 subunit MAPKAP1
17	Guf1	Isoform 2 of Translation factor Guf1, mitochondrial
18	Pars2	Probable proline--tRNA ligase, mitochondrial
19	Uaca	Isoform 3 of Uveal autoantigen with coiled-coil domains and ankyrin repeats
20	Dym	Dymeclin
21	Osbpl11	Oxysterol-binding protein-related protein 11
22	Get1	Guided entry of tail-anchored proteins factor 1
23	Paxx	Protein PAXX
24	Txndc11	Thioredoxin domain-containing protein 11
25	Aamdc	Mth938 domain-containing protein
26	Utp4	U3 small nucleolar RNA-associated protein 4 homolog
27	Ints14	Isoform 2 of Integrator complex subunit 14
28	Naa40	N-alpha-acetyltransferase 40
29	Metap1d	Isoform 2 of Methionine aminopeptidase 1D, mitochondrial
30	Pih1d1	PIH1 domain-containing protein 1
31	Nkiras2	NF-kappa-B inhibitor-interacting Ras-like protein 2
32	Zdhhc13	Palmitoyltransferase ZDHHC13
33	S100a16	Protein S100-A16
34	Cox20	Cytochrome c oxidase assembly protein COX20, mitochondrial
35	Lactb	Serine beta-lactamase-like protein LACTB, mitochondrial
36	Acox3	Peroxisomal acyl-coenzyme A oxidase 3
37	Tor1aip2	Torsin-1A-interacting protein 2, isoform IFRG15
38	Fads3	Fatty acid desaturase 3
39	Mvk	Mevalonate kinase
40	Ppl	Periplakin
41	Slc35a4	Solute carrier family 35, member A4
42	Cyp4f13	Cytochrome P450 CYP4F13
